,Адрес,Год постройки,Город,Количество жилых помещений,Количество лифтов,"Количество мусоропроводов, ед.",Количество подъездов,Количество этажей,Материал несущих стен,Площадь зем. участка общего имущества м2,Площадь нежилых помещений м2,Площадь парковки м2,Спортивная площадка,Тип мусоропровода
187,"ул. Железнодорожная, д. №10",1979,Будогощь,не указано,не указано,не указано,4,1,Деревянные,не указано,93.50,не указано,не указано,не указано
188,"ул. Железнодорожная, д. №11а",1979,Будогощь,не указано,не указано,не указано,3,1,Деревянные,не указано,25.70,не указано,не указано,не указано
189,"ул. Железнодорожная, д. №12",1980,Будогощь,не указано,не указано,не указано,3,1,Деревянные,не указано,55.40,не указано,не указано,не указано
190,"ул. Железнодорожная, д. №14",Не заполнено,Будогощь,не указано,не указано,не указано,2,1,Деревянные,не указано,16.90,не указано,не указано,не указано
191,"ул. Железнодорожная, д. №17",1980,Будогощь,не указано,не указано,не указано,3,1,Деревянные,не указано,67.50,не указано,не указано,не указано
192,"ул. Железнодорожная, д. №21",Не заполнено,Будогощь,не указано,не указано,не указано,4,1,Деревянные,не указано,168.50,не указано,не указано,не указано
193,"ул. Железнодорожная, д. №24",1958,Будогощь,не указано,не указано,не указано,1,2,Иные,не указано,144.40,не указано,не указано,не указано
194,"ул. Железнодорожная, д. №25",1929,Будогощь,не указано,не указано,не указано,1,2,Деревянные,не указано,не указано,не указано,не указано,не указано
195,"ул. Заводская, д. №92",1974,Будогощь,не указано,не указано,не указано,2,2,Кирпич,не указано,370.20,не указано,не указано,не указано
196,"ул. Заводская, д. №1",1982,Будогощь,не указано,не указано,не указано,2,2,Кирпич,не указано,90.20,не указано,не указано,не указано
197,"ул. Заводская, д. №83",1968,Будогощь,не указано,не указано,не указано,2,2,Кирпич,не указано,259.40,не указано,не указано,не указано
198,"ул. Заводская, д. №85",1970,Будогощь,не указано,не указано,не указано,2,2,Кирпич,не указано,279.40,не указано,не указано,не указано
199,"ул. Заводская, д. №94",1985,Будогощь,27,не указано,не указано,3,3,Панельные,1 271.00,580.70,0.00,Не имеется,Отсутствует
200,"ул. Заводская, д. №96",2000,Будогощь,24,не указано,не указано,2,3,Панельные,1 430.00,634.30,0.00,Не имеется,Отсутствует
201,"ул. Заводская, д. №79",1965,Будогощь,не указано,не указано,не указано,2,2,Кирпич,не указано,198.86,не указано,не указано,не указано
202,"ул. Заводская, д. №81",1967,Будогощь,не указано,не указано,не указано,2,2,Кирпич,не указано,206.80,не указано,не указано,не указано
203,"ул. Заводская, д. №77",1962,Будогощь,не указано,не указано,не указано,2,2,Кирпич,не указано,156.57,не указано,не указано,не указано
204,"ул. Зеленая Набережная, д. №30",1984,Будогощь,не указано,не указано,не указано,3,1,Деревянные,не указано,25.60,не указано,не указано,не указано
205,"ул. Исполкомовская, д. №7",1958,Будогощь,не указано,не указано,не указано,1,2,Деревянные,не указано,37.19,не указано,не указано,не указано
206,"ул. Исполкомовская, д. №12",1969,Будогощь,не указано,не указано,не указано,1,2,Кирпич,не указано,116.70,не указано,не указано,не указано
207,"ул. Исполкомовская, д. №8а",1955,Будогощь,не указано,не указано,не указано,1,1,Деревянные,не указано,не указано,не указано,не указано,не указано
208,"ул. Исполкомовская, д. №4",1960,Будогощь,не указано,не указано,не указано,1,2,Деревянные,не указано,не указано,не указано,не указано,не указано
209,"ул. Исполкомовская, д. №29",1977,Будогощь,не указано,не указано,не указано,не указано,1,Деревянные,не указано,50.60,не указано,не указано,не указано
210,"ул. Исполкомовская, д. №21",1932,Будогощь,не указано,не указано,не указано,1,2,Деревянные,не указано,не указано,не указано,не указано,не указано
211,"ул. Исполкомовская, д. №35",1954,Будогощь,не указано,не указано,не указано,2,1,Деревянные,не указано,не указано,не указано,не указано,не указано
