,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
86,"остров. Канонерский, д. 16, лит. А",студия,42,3, 52 ,1550000,36905,1400000,33334,22.08.2016,12.10.2016
87,"остров. Канонерский, д. 16, лит. А",студия,21,2, 41 ,1550000,73810,1400000,66667,22.08.2016,01.10.2016
88,"остров. Канонерский, д. 16, лит. А",2,"43,5",4, 395 ,3850000,88506,3750000,86207,02.09.2015,30.09.2016
89,"остров. Канонерский, д. 16, лит. А",1,"31,7",1, 432 ,2800000,88329,2800000,88329,27.11.2014,01.02.2016
90,"остров. Канонерский, д. 16, лит. А",2,51,3, 91 ,6000000,117648,5200000,101961,30.06.2015,28.09.2015
91,"остров. Канонерский, д. 16, лит. А",1,31,4, 16 ,2870000,92581,2870000,92581,27.11.2014,12.12.2014
92,"остров. Канонерский, д. 14, лит. А",4,"48,7",3, 70 ,4300000,88296,3980000,81725,19.07.2019,26.09.2019
93,"остров. Канонерский, д. 14, лит. А",4,"49,6",3, 416 ,4230000,85283,4000000,80545,27.03.2018,16.05.2019
94,"остров. Канонерский, д. 14, лит. А",3,42,2, 489 ,3300000,78572,3550000,84524,03.08.2017,04.12.2018
95,"остров. Канонерский, д. 14, лит. А",4,"49,5",4, 12 ,3900000,78788,3700000,74748,25.08.2018,05.09.2018
96,"остров. Канонерский, д. 14, лит. А",4,55,1, 55 ,3400000,61819,3400000,61819,24.11.2017,17.01.2018
97,"остров. Канонерский, д. 14, лит. А",студия,42,3, 70 ,1300000,30953,1500000,35715,22.08.2016,30.10.2016
98,"остров. Канонерский, д. 14, лит. А",4,50,3, 249 ,3650000,73000,3350000,67000,29.05.2015,01.02.2016
99,"остров. Канонерский, д. 14, лит. А",3,43,2, 101 ,4300000,100000,4190000,97442,20.06.2015,28.09.2015
100,"остров. Канонерский, д. 25, лит. А",1,"25,3",3, 166 ,3050000,120554,2790000,110277,17.10.2019,30.03.2020
101,"остров. Канонерский, д. 25, лит. А",2,42,7, 421 ,4500000,107143,4500000,107143,06.04.2018,31.05.2019
